Type,Name,E_day,E_month,H_day,H_month
ESA,CottonsaESA7,1,5,22,9
ESA,CottonsaESA8,1,5,22,9
ESA,DevelopedESA1,1,9,2,11
ESA,DevelopedESA10a,1,9,2,11
ESA,DevelopedESA10b,1,9,2,11
ESA,DevelopedESA11a,1,9,2,11
ESA,DevelopedESA11b,1,9,2,11
ESA,DevelopedESA12a,1,9,2,11
ESA,DevelopedESA12b,1,9,2,11
ESA,DevelopedESA13,1,9,2,11
ESA,DevelopedESA14,1,9,2,11
ESA,DevelopedESA15a,1,9,2,11
ESA,DevelopedESA15b,1,9,2,11
ESA,DevelopedESA16a,1,9,2,11
ESA,DevelopedESA16b,1,9,2,11
ESA,DevelopedESA17a,1,9,2,11
ESA,DevelopedESA17b,1,9,2,11
ESA,DevelopedESA18a,1,9,2,11
ESA,DevelopedESA18b,1,9,2,11
ESA,DevelopedESA19a,1,9,2,11
ESA,DevelopedESA19b,1,9,2,11
ESA,DevelopedESA2,1,9,2,11
ESA,DevelopedESA20a,1,9,2,11
ESA,DevelopedESA20b,1,9,2,11
ESA,DevelopedESA21,1,9,2,11
ESA,DevelopedESA3,1,9,2,11
ESA,DevelopedESA4,1,9,2,11
ESA,DevelopedESA5,1,9,2,11
ESA,DevelopedESA6,1,9,2,11
ESA,DevelopedESA7,1,9,2,11
ESA,DevelopedESA8,1,9,2,11
ESA,DevelopedESA9,1,9,2,11
ESA,DevelopedOSESA1,1,4,1,11
ESA,DevelopedOSESA10a,1,4,1,11
ESA,DevelopedOSESA10b,1,4,1,11
ESA,DevelopedOSESA11a,1,2,15,12
ESA,DevelopedOSESA11b,1,2,15,12
ESA,DevelopedOSESA12a,1,2,15,12
ESA,DevelopedOSESA12b,1,2,15,12
ESA,DevelopedOSESA13,1,1,31,12
ESA,DevelopedOSESA14,1,1,31,12
ESA,DevelopedOSESA15a,1,1,31,12
ESA,DevelopedOSESA15b,1,1,31,12
ESA,DevelopedOSESA16a,1,1,31,12
ESA,DevelopedOSESA16b,1,1,31,12
ESA,DevelopedOSESA17a,1,1,31,12
ESA,DevelopedOSESA17b,1,1,31,12
ESA,DevelopedOSESA18a,1,1,31,12
ESA,DevelopedOSESA18b,1,1,31,12
ESA,DevelopedOSESA19a,1,1,31,12
ESA,DevelopedOSESA19b,1,1,31,12
ESA,DevelopedOSESA2,1,4,1,11
ESA,DevelopedOSESA20a,1,1,31,12
ESA,DevelopedOSESA20b,1,1,31,12
ESA,DevelopedOSESA21,1,2,15,12
ESA,DevelopedOSESA3,1,2,15,12
ESA,DevelopedOSESA4,1,4,1,11
ESA,DevelopedOSESA5,1,4,1,11
ESA,DevelopedOSESA6,1,2,15,12
ESA,DevelopedOSESA7,1,4,1,11
ESA,DevelopedOSESA8,1,2,15,12
ESA,DevelopedOSESA9,1,4,1,11
ESA,DevelopedOSsaESA1,1,4,1,11
ESA,DevelopedOSsaESA10a,1,4,1,11
ESA,DevelopedOSsaESA10b,1,4,1,11
ESA,DevelopedOSsaESA11a,1,2,15,12
ESA,DevelopedOSsaESA11b,1,2,15,12
ESA,DevelopedOSsaESA12a,1,2,15,12
ESA,DevelopedOSsaESA12b,1,2,15,12
ESA,DevelopedOSsaESA13,1,1,31,12
ESA,DevelopedOSsaESA14,1,1,31,12
ESA,DevelopedOSsaESA15a,1,1,31,12
ESA,DevelopedOSsaESA15b,1,1,31,12
ESA,DevelopedOSsaESA16a,1,1,31,12
ESA,DevelopedOSsaESA16b,1,1,31,12
ESA,DevelopedOSsaESA17a,1,1,31,12
ESA,DevelopedOSsaESA17b,1,1,31,12
ESA,DevelopedOSsaESA18a,1,1,31,12
ESA,DevelopedOSsaESA18b,1,1,31,12
ESA,DevelopedOSsaESA19a,1,1,31,12
ESA,DevelopedOSsaESA19b,1,1,31,12
ESA,DevelopedOSsaESA2,1,4,1,11
ESA,DevelopedOSsaESA20a,1,1,31,12
ESA,DevelopedOSsaESA20b,1,1,31,12
ESA,DevelopedOSsaESA21,1,2,15,12
ESA,DevelopedOSsaESA3,1,2,15,12
ESA,DevelopedOSsaESA4,1,4,1,11
ESA,DevelopedOSsaESA5,1,4,1,11
ESA,DevelopedOSsaESA6,1,2,15,12
ESA,DevelopedOSsaESA7,1,4,1,11
ESA,DevelopedOSsaESA8,1,2,15,12
ESA,DevelopedOSsaESA9,1,4,1,11
ESA,DevelopedsaESA1,1,9,2,11
ESA,DevelopedsaESA10a,1,9,2,11
ESA,DevelopedsaESA10b,1,9,2,11
ESA,DevelopedsaESA11a,1,9,2,11
ESA,DevelopedsaESA11b,1,9,2,11
ESA,DevelopedsaESA12a,1,9,2,11
ESA,DevelopedsaESA12b,1,9,2,11
ESA,DevelopedsaESA13,1,9,2,11
ESA,DevelopedsaESA14,1,9,2,11
ESA,DevelopedsaESA15a,1,9,2,11
ESA,DevelopedsaESA15b,1,9,2,11
ESA,DevelopedsaESA16a,1,9,2,11
ESA,DevelopedsaESA16b,1,9,2,11
ESA,DevelopedsaESA17a,1,9,2,11
ESA,DevelopedsaESA17b,1,9,2,11
ESA,DevelopedsaESA18a,1,9,2,11
ESA,DevelopedsaESA18b,1,9,2,11
ESA,DevelopedsaESA19a,1,9,2,11
ESA,DevelopedsaESA19b,1,9,2,11
ESA,DevelopedsaESA2,1,9,2,11
ESA,DevelopedsaESA20a,1,9,2,11
ESA,DevelopedsaESA20b,1,9,2,11
ESA,DevelopedsaESA21,1,9,2,11
ESA,DevelopedsaESA3,1,9,2,11
ESA,DevelopedsaESA4,1,9,2,11
ESA,DevelopedsaESA5,1,9,2,11
ESA,DevelopedsaESA6,1,9,2,11
ESA,DevelopedsaESA7,1,9,2,11
ESA,DevelopedsaESA8,1,9,2,11
ESA,DevelopedsaESA9,1,9,2,11
ESA,GolfESA1,1,4,1,11
ESA,GolfESA10a,1,4,1,11
ESA,GolfESA10b,1,4,1,11
ESA,GolfESA11a,1,2,15,12
ESA,GolfESA11b,1,2,15,12
ESA,GolfESA12a,1,2,15,12
ESA,GolfESA12b,1,2,15,12
ESA,GolfESA13,1,1,31,12
ESA,GolfESA14,1,1,31,12
ESA,GolfESA15a,1,1,31,12
ESA,GolfESA15b,1,1,31,12
ESA,GolfESA16a,1,1,31,12
ESA,GolfESA16b,1,1,31,12
ESA,GolfESA17a,1,1,31,12
ESA,GolfESA17b,1,1,31,12
ESA,GolfESA18a,1,1,31,12
ESA,GolfESA18b,1,1,31,12
ESA,GolfESA19a,1,1,31,12
ESA,GolfESA19b,1,1,31,12
ESA,GolfESA2,1,4,1,11
ESA,GolfESA20a,1,1,31,12
ESA,GolfESA20b,1,1,31,12
ESA,GolfESA21,1,2,15,12
ESA,GolfESA3,1,2,15,12
ESA,GolfESA4,1,4,1,11
ESA,GolfESA5,1,4,1,11
ESA,GolfESA6,1,2,15,12
ESA,GolfESA7,1,4,1,11
ESA,GolfESA8,1,2,15,12
ESA,GolfESA9,1,4,1,11
ESA,GolfsaESA1,1,4,1,11
ESA,GolfsaESA10a,1,4,1,11
ESA,GolfsaESA10b,1,4,1,11
ESA,GolfsaESA11a,1,2,15,12
ESA,GolfsaESA11b,1,2,15,12
ESA,GolfsaESA12a,1,2,15,12
ESA,GolfsaESA12b,1,2,15,12
ESA,GolfsaESA13,1,1,31,12
ESA,GolfsaESA14,1,1,31,12
ESA,GolfsaESA15a,1,1,31,12
ESA,GolfsaESA15b,1,1,31,12
ESA,GolfsaESA16a,1,1,31,12
ESA,GolfsaESA16b,1,1,31,12
ESA,GolfsaESA17a,1,1,31,12
ESA,GolfsaESA17b,1,1,31,12
ESA,GolfsaESA18a,1,1,31,12
ESA,GolfsaESA18b,1,1,31,12
ESA,GolfsaESA19a,1,1,31,12
ESA,GolfsaESA19b,1,1,31,12
ESA,GolfsaESA2,1,4,1,11
ESA,GolfsaESA20a,1,1,31,12
ESA,GolfsaESA20b,1,1,31,12
ESA,GolfsaESA21,1,2,15,12
ESA,GolfsaESA3,1,2,15,12
ESA,GolfsaESA4,1,4,1,11
ESA,GolfsaESA5,1,4,1,11
ESA,GolfsaESA6,1,2,15,12
ESA,GolfsaESA7,1,4,1,11
ESA,GolfsaESA8,1,2,15,12
ESA,GolfsaESA9,1,4,1,11
ESA,GrapesESA1,1,6,15,10
ESA,GrapesESA10a,1,6,15,10
ESA,GrapesESA10b,1,6,15,10
ESA,GrapesESA11a,1,6,15,10
ESA,GrapesESA11b,1,6,15,10
ESA,GrapesESA12a,1,6,15,10
ESA,GrapesESA12b,1,6,15,10
ESA,GrapesESA13,1,6,15,10
ESA,GrapesESA14,1,6,15,10
ESA,GrapesESA15a,1,2,31,8
ESA,GrapesESA15b,1,2,31,8
ESA,GrapesESA16a,1,2,31,8
ESA,GrapesESA16b,1,2,31,8
ESA,GrapesESA17a,1,4,1,9
ESA,GrapesESA17b,1,4,1,9
ESA,GrapesESA18a,1,2,31,8
ESA,GrapesESA18b,1,2,31,8
ESA,GrapesESA2,1,6,15,10
ESA,GrapesESA20a,1,2,31,8
ESA,GrapesESA20b,1,2,31,8
ESA,GrapesESA3,1,6,15,10
ESA,GrapesESA4,1,6,15,10
ESA,GrapesESA5,1,6,15,10
ESA,GrapesESA6,1,6,15,10
ESA,GrapesESA7,1,6,15,10
ESA,GrapesESA8,1,6,15,10
ESA,GrapesESA9,1,6,15,10
ESA,GrapessaESA1,1,6,15,10
ESA,GrapessaESA10a,1,6,15,10
ESA,GrapessaESA10b,1,6,15,10
ESA,GrapessaESA11a,1,6,15,10
ESA,GrapessaESA11b,1,6,15,10
ESA,GrapessaESA12a,1,6,15,10
ESA,GrapessaESA12b,1,6,15,10
ESA,GrapessaESA13,1,6,15,10
ESA,GrapessaESA14,1,6,15,10
ESA,GrapessaESA15a,1,2,31,8
ESA,GrapessaESA15b,1,2,31,8
ESA,GrapessaESA16a,1,2,31,8
ESA,GrapessaESA16b,1,2,31,8
ESA,GrapessaESA17a,1,4,1,9
ESA,GrapessaESA17b,1,4,1,9
ESA,GrapessaESA18a,1,2,31,8
ESA,GrapessaESA18b,1,2,31,8
ESA,GrapessaESA2,1,6,15,10
ESA,GrapessaESA20a,1,2,31,8
ESA,GrapessaESA20b,1,2,31,8
ESA,GrapessaESA3,1,6,15,10
ESA,GrapessaESA4,1,6,15,10
ESA,GrapessaESA5,1,6,15,10
ESA,GrapessaESA6,1,6,15,10
ESA,GrapessaESA7,1,6,15,10
ESA,GrapessaESA8,1,6,15,10
ESA,GrapessaESA9,1,6,15,10
ESA,GrasslandESA1,1,6,30,8
ESA,GrasslandESA10a,1,6,30,8
ESA,GrasslandESA10b,1,6,30,8
ESA,GrasslandESA11a,1,9,1,8
ESA,GrasslandESA11b,1,9,1,8
ESA,GrasslandESA12a,1,9,1,8
ESA,GrasslandESA12b,1,9,1,8
ESA,GrasslandESA13,1,9,1,8
ESA,GrasslandESA14,1,9,1,8
ESA,GrasslandESA15a,1,9,1,8
ESA,GrasslandESA15b,1,9,1,8
ESA,GrasslandESA16a,1,9,1,8
ESA,GrasslandESA16b,1,9,1,8
